epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,117.023,1.75142,5.15019,1.56971,0.3338,0.24818,0.16298,0.05505,1.65841,5.30085,1.4149,0.00018,6e-05,0.00018,6e-05,0.00018,6e-05,0.00018,6e-05
2,214.418,1.57071,4.65863,1.42106,0.37662,0.28467,0.23234,0.08902,1.57251,4.54456,1.35377,0.00041307,0.00013769,0.00041307,0.00013769,0.00041307,0.00013769,0.00041307,0.00013769
3,302.554,1.53228,4.10588,1.40121,0.42154,0.42023,0.34089,0.14853,1.47268,3.37932,1.28122,0.00063822,0.00021274,0.00063822,0.00021274,0.00063822,0.00021274,0.00063822,0.00021274
4,390.966,1.51099,2.95248,1.36164,0.54803,0.55759,0.5831,0.27978,1.34234,2.44308,1.21693,0.00085545,0.00028515,0.00085545,0.00028515,0.00085545,0.00028515,0.00085545,0.00028515
5,459.264,1.44759,2.21942,1.30666,0.60309,0.66546,0.68685,0.37171,1.21008,2.24713,1.16467,0.00106476,0.00035492,0.00106476,0.00035492,0.00106476,0.00035492,0.00106476,0.00035492
6,525.307,1.31287,1.93919,1.23124,0.7291,0.70722,0.75387,0.43037,1.08044,2.10475,1.11165,0.00126615,0.00042205,0.00126615,0.00042205,0.00126615,0.00042205,0.00126615,0.00042205
7,588.767,1.40122,1.62201,1.29501,0.82827,0.69343,0.81814,0.50827,0.96077,1.95739,1.05415,0.00145962,0.00048654,0.00145962,0.00048654,0.00145962,0.00048654,0.00145962,0.00048654
8,650.745,1.42085,1.48946,1.29505,0.8708,0.72263,0.84158,0.5517,0.87514,1.67641,1.00727,0.00164517,0.00054839,0.00164517,0.00054839,0.00164517,0.00054839,0.00164517,0.00054839
9,713.097,1.28556,1.42929,1.24432,0.83526,0.80292,0.88974,0.6066,0.85603,1.28378,0.98795,0.0018228,0.0006076,0.0018228,0.0006076,0.0018228,0.0006076,0.0018228,0.0006076
10,776.257,1.08374,1.15755,1.10278,0.89757,0.85401,0.91542,0.63641,0.81949,1.11457,0.97495,0.00199251,0.00066417,0.00199251,0.00066417,0.00199251,0.00066417,0.00199251,0.00066417
11,839.113,1.06982,1.18728,1.18503,0.94285,0.88321,0.94717,0.68535,0.77345,0.9105,0.97347,0.0021543,0.0007181,0.0021543,0.0007181,0.0021543,0.0007181,0.0021543,0.0007181
12,901.192,1.18875,1.0029,1.12554,0.94769,0.89781,0.96271,0.69844,0.76771,0.82414,0.97111,0.00230817,0.00076939,0.00230817,0.00076939,0.00230817,0.00076939,0.00230817,0.00076939
13,965.61,0.97143,0.8397,1.07557,0.96524,0.91971,0.96409,0.70146,0.76998,0.74198,0.9988,0.00245412,0.00081804,0.00245412,0.00081804,0.00245412,0.00081804,0.00245412,0.00081804
14,1019.42,1.11213,0.85013,1.16128,0.94694,0.94161,0.96508,0.72186,0.74548,0.69604,0.97696,0.00259215,0.00086405,0.00259215,0.00086405,0.00259215,0.00086405,0.00259215,0.00086405
15,1084.35,0.92441,0.77157,1.09009,0.94722,0.9562,0.96935,0.73175,0.72418,0.62785,0.9837,0.00272226,0.00090742,0.00272226,0.00090742,0.00272226,0.00090742,0.00272226,0.00090742
