epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,210.48,0.7916,5.15447,1.09215,0.08663,0.37736,0.09465,0.08187,0.7041,6.13562,1.02103,0.0003375,0.0001125,0.0003375,0.0001125,0.0003375,0.0001125,0.0003375,0.0001125
2,414.964,0.76754,2.93727,1.07819,0.37348,0.55613,0.22885,0.18558,0.73093,3.83017,1.12525,0.000708973,0.000236324,0.000708973,0.000236324,0.000708973,0.000236324,0.000708973,0.000236324
3,570.699,0.74762,1.75961,1.09109,0.75463,0.2467,0.28393,0.24135,0.61239,2.91439,1.07035,0.00107673,0.000358911,0.00107673,0.000358911,0.00107673,0.000358911,0.00107673,0.000358911
4,719.216,0.67456,1.44929,1.03937,0.46924,0.53412,0.31692,0.2824,0.53892,1.78273,1.01118,0.00144078,0.000480261,0.00144078,0.000480261,0.00144078,0.000480261,0.00144078,0.000480261
5,875.896,0.68745,1.18287,1.05249,0.67109,0.46968,0.42114,0.38617,0.54843,1.49502,1.03468,0.00180112,0.000600373,0.00180112,0.000600373,0.00180112,0.000600373,0.00180112,0.000600373
6,1016.32,0.58033,0.91394,0.98576,0.67297,0.64554,0.45218,0.42164,0.53077,1.4257,1.00473,0.00215774,0.000719247,0.00215774,0.000719247,0.00215774,0.000719247,0.00215774,0.000719247
7,1148.01,0.59874,0.88686,0.98889,0.65572,0.57941,0.4446,0.40816,0.53331,1.18198,1.00911,0.00251065,0.000836884,0.00251065,0.000836884,0.00251065,0.000836884,0.00251065,0.000836884
8,1279.74,0.6123,0.71972,1.02562,0.64277,0.72666,0.49208,0.45227,0.52457,0.97204,0.98932,0.00285985,0.000953283,0.00285985,0.000953283,0.00285985,0.000953283,0.00285985,0.000953283
9,1413.66,0.6327,0.7559,1.02835,0.6776,0.72757,0.50926,0.47031,0.53213,0.98502,0.98615,0.00320534,0.00106844,0.00320534,0.00106844,0.00320534,0.00106844,0.00320534,0.00106844
10,1543.06,0.60842,0.67033,1.01491,0.67162,0.72642,0.50995,0.4741,0.50319,0.90404,0.96964,0.00354711,0.00118237,0.00354711,0.00118237,0.00354711,0.00118237,0.00354711,0.00118237
11,1665.93,0.56082,0.65017,0.96484,0.71667,0.67257,0.51941,0.49212,0.46861,0.81116,0.94215,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
12,1799.61,0.56134,0.60962,0.9724,0.69754,0.66085,0.50411,0.47613,0.47089,0.71358,0.94412,0.00354581,0.00118194,0.00354581,0.00118194,0.00354581,0.00118194,0.00354581,0.00118194
